CPU,Time,N0 free,N2 free,N4 free,N6 free,Copy: Best,Copy: Avg,Copy: Min,Copy: Max,Scale: Best,Scale: Avg,Scale: Min,Scale: Max,Add: Best,Add: Avg,Add: Min,Add: Max,Triad: Best,Triad: Avg,Triad: Min,Triad: Max
41,1476127824.5653021,3146,1698,1720,7131,3961.1,0.106601,0.100983,0.116674,3986.5,0.106057,0.100338,0.113917,4210.2,0.149341,0.142511,0.163968,4214.3,0.148277,0.142373,0.155816
4,1476128405.2895818,3135,1705,1731,7200,5792.7,0.072989,0.069052,0.079513,5768.0,0.072720,0.069348,0.077146,6487.5,0.097293,0.092486,0.104052,6520.4,0.096989,0.092019,0.103060
17,1476128412.6618843,3138,1711,1730,7205,2955.9,0.136585,0.135322,0.137455,2957.6,0.136553,0.135244,0.137493,3002.3,0.201282,0.199848,0.202287,3003.5,0.201154,0.199768,0.202059
24,1476128417.9673426,3138,1712,1731,7205,4118.5,0.099344,0.097123,0.106750,4153.2,0.098703,0.096312,0.107966,4369.6,0.139624,0.137313,0.151991,4373.8,0.139800,0.137182,0.151892
37,1476128423.5863757,3137,1713,1729,7206,3977.1,0.104728,0.100577,0.110245,3998.5,0.103769,0.100038,0.109924,4218.5,0.146917,0.142232,0.154202,4233.2,0.146486,0.141737,0.153494
8,1476129009.1166341,2742,1727,1750,7197,3063.7,0.132655,0.130563,0.143165,3072.6,0.130693,0.130182,0.131447,3500.3,0.173895,0.171414,0.176195,3501.6,0.174659,0.171348,0.180199
20,1476129021.5514355,2770,1732,1755,7209,2016.2,0.215103,0.198392,0.344583,2000.0,0.216696,0.199997,0.344968,2022.5,0.313640,0.296666,0.445346,2022.7,0.297367,0.296634,0.298201
32,1476129031.4909604,2754,1731,1755,7209,2187.4,0.184154,0.182867,0.186542,2128.9,0.189849,0.187891,0.192357,2249.7,0.268353,0.266701,0.269776,2254.4,0.269339,0.266144,0.276512
43,1476129039.225766,2752,1729,1754,7207,2757.6,0.147084,0.145056,0.152339,2670.2,0.152149,0.149799,0.158049,3169.1,0.198627,0.189331,0.205134,3091.6,0.199823,0.194073,0.206869
1,1476129608.2419555,2795,1601,1743,7206,5083.8,0.110781,0.078682,0.137347,5243.8,0.128833,0.076280,0.183370,5793.2,0.155987,0.103570,0.216442,5783.6,0.151202,0.103741,0.206434
23,1476129618.9721608,3368,1719,1744,7210,2038.4,0.197990,0.196230,0.203477,2039.4,0.198102,0.196133,0.204808,2032.9,0.297174,0.295139,0.302095,2032.5,0.298006,0.295204,0.305982
32,1476129625.8685262,2796,1719,1746,7211,3576.5,0.126444,0.111840,0.165674,3591.8,0.124228,0.111366,0.168453,3826.9,0.171847,0.156785,0.225090,3830.4,0.171416,0.156642,0.222455
42,1476129632.0287285,3368,1719,1747,7211,3509.2,0.114232,0.113986,0.114640,3517.4,0.113915,0.113721,0.114102,3774.3,0.159343,0.158969,0.159916,3780.9,0.159270,0.158692,0.159949
8,1476130206.3084452,3377,1690,1751,7212,4636.8,0.093740,0.086266,0.097857,4885.0,0.089895,0.081883,0.093675,5189.7,0.125491,0.115613,0.128583,5228.7,0.123699,0.114752,0.129079
21,1476130217.1190667,3365,1695,1553,7211,2037.5,0.197162,0.196318,0.198299,2039.5,0.196929,0.196129,0.197666,2030.0,0.296707,0.295567,0.298002,2031.9,0.296374,0.295287,0.297879
24,1476130226.3311179,3364,1696,1758,7212,4117.9,0.182033,0.097138,0.215891,4146.6,0.176958,0.096465,0.211682,4362.1,0.241744,0.137548,0.303113,4370.0,0.237868,0.137299,0.302913
42,1476130232.4840598,3330,1697,1758,7212,3507.0,0.114389,0.114059,0.114762,3509.7,0.114179,0.113970,0.115100,3778.0,0.158980,0.158816,0.159368,3781.3,0.158847,0.158677,0.158986
